"event","experiment time","system time","system time text"
"START",0.000000000E0,1654694623.720,"2022-06-08 15:23:43.720 UTC+02:00"
"PAUSE",1.800251043E2,1654694803.745,"2022-06-08 15:26:43.745 UTC+02:00"
