"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.974616750E-1,-1.964023411E-1,1.529940963E-1,2.596505545E-2,2.503103218E-1
1.999881340E-1,-2.113156021E-1,1.625811905E-1,2.916075476E-2,2.682112540E-1
2.025145920E-1,-2.326202542E-1,1.689725816E-1,3.448691964E-2,2.895742800E-1
2.051205820E-1,-2.496639937E-1,1.711030602E-1,4.300878197E-2,3.057092120E-1
2.076470400E-1,-2.656424940E-1,1.732335240E-1,4.620448127E-2,3.204850114E-1
2.101734980E-1,-2.730991244E-1,1.711030602E-1,5.046541616E-2,3.261995512E-1
2.126999570E-1,-2.858819067E-1,1.689725816E-1,5.685681105E-2,3.369167477E-1
2.152264670E-1,-2.933385372E-1,1.593854874E-1,6.324820966E-2,3.397816461E-1
2.177529250E-1,-2.965342402E-1,1.519288570E-1,7.496577501E-2,3.415183753E-1
2.202793840E-1,-2.954690158E-1,1.423417628E-1,8.348763734E-2,3.384276914E-1
2.228058420E-1,-2.922733128E-1,1.316894293E-1,9.413997084E-2,3.341079605E-1
2.253323000E-1,-2.858819067E-1,1.178414002E-1,1.026618332E-1,3.258136157E-1
2.278588110E-1,-2.837514579E-1,1.039933711E-1,1.133141592E-1,3.227531716E-1
2.303852690E-1,-2.752295732E-1,9.227581322E-2,1.239664927E-1,3.156482774E-1
2.329117280E-1,-2.677729428E-1,8.055824786E-2,1.303578913E-1,3.085209231E-1
2.355245400E-1,-2.581858635E-1,6.457975507E-2,1.367492825E-1,2.992170636E-1
2.380509980E-1,-2.464682907E-1,5.179695413E-2,1.442059278E-1,2.902152518E-1
2.405774570E-1,-2.411421239E-1,4.753602296E-2,1.527277827E-1,2.893699588E-1
2.431039150E-1,-2.315550297E-1,3.794892505E-2,1.580539495E-1,2.829114767E-1
2.456304250E-1,-2.177069932E-1,2.942706272E-2,1.591191888E-1,2.712585541E-1
2.481568840E-1,-2.134460658E-1,2.303566411E-2,1.665758193E-1,2.717303229E-1
2.506833420E-1,-2.091851383E-1,1.877473295E-2,1.697715074E-1,2.700616178E-1
2.532098000E-1,-2.049241960E-1,1.451379992E-2,1.740324497E-1,2.692431430E-1
2.557362590E-1,-2.027937323E-1,9.187635034E-3,1.750976741E-1,2.680837667E-1
2.582627170E-1,-2.038589716E-1,5.991935730E-3,1.804238409E-1,2.722997355E-1
2.607892280E-1,-2.049241960E-1,6.657706108E-4,1.857500076E-1,2.765816962E-1
2.633156860E-1,-2.113156021E-1,-1.464695437E-3,1.889457107E-1,2.834729451E-1
2.659096440E-1,-2.113156021E-1,-7.856093347E-3,1.953371018E-1,2.878759893E-1
2.684361030E-1,-2.166417688E-1,-8.921326138E-3,1.953371018E-1,2.918387044E-1
2.709625610E-1,-2.283593267E-1,-8.921326138E-3,1.974675655E-1,3.020281636E-1
2.734890190E-1,-2.326202542E-1,-9.986559860E-3,2.017285079E-1,3.080686692E-1
2.760155300E-1,-2.400768995E-1,-6.790860556E-3,2.059894353E-1,3.164090405E-1
2.785419880E-1,-2.422073632E-1,6.657706108E-4,2.113156021E-1,3.214329382E-1
2.810684460E-1,-2.496639937E-1,5.991935730E-3,2.134460658E-1,3.285228090E-1
2.835949050E-1,-2.592510879E-1,1.344856713E-2,2.155765295E-1,3.374392251E-1
2.861213630E-1,-2.624467909E-1,1.877473295E-2,2.166417688E-1,3.408290842E-1
2.886478730E-1,-2.635120153E-1,2.410089783E-2,2.198374718E-1,3.440173681E-1
2.911743320E-1,-2.688381970E-1,2.836182900E-2,2.230331600E-1,3.504599263E-1
2.937007900E-1,-2.773600519E-1,3.475322574E-2,2.240983993E-1,3.582687227E-1
2.963213630E-1,-2.762948275E-1,4.220985994E-2,2.283593267E-1,3.609272587E-1
2.988478210E-1,-2.720338702E-1,5.073172227E-2,2.315550297E-1,3.608238712E-1
3.013742800E-1,-2.688381970E-1,5.925358832E-2,2.347507328E-1,3.617911973E-1
3.039007380E-1,-2.635120153E-1,6.564498693E-2,2.358159572E-1,3.596623586E-1
3.064272480E-1,-2.571206093E-1,7.310161740E-2,2.358159572E-1,3.564604043E-1
3.089537070E-1,-2.571206093E-1,8.162347972E-2,2.411421239E-1,3.618327294E-1
3.114801650E-1,-2.443378270E-1,8.588441461E-2,2.464682907E-1,3.575244393E-1
3.140066230E-1,-2.358159572E-1,9.440627694E-2,2.507292330E-1,3.569129573E-1
3.165330820E-1,-2.272941023E-1,9.760197252E-2,2.549901605E-1,3.552586887E-1
3.190595920E-1,-2.145113051E-1,1.007976755E-1,2.613815665E-1,3.528393327E-1
3.215860500E-1,-1.995980442E-1,1.029281393E-1,2.656424940E-1,3.478498465E-1
3.241125090E-1,-1.878804713E-1,1.018629074E-1,2.709686458E-1,3.451074187E-1
3.267224050E-1,-1.740324497E-1,1.050586104E-1,2.816209793E-1,3.473254686E-1
3.292488630E-1,-1.569887102E-1,9.973244369E-2,2.890776098E-1,3.437410070E-1
3.317753210E-1,-1.410102248E-1,9.440627694E-2,2.965342402E-1,3.416562370E-1
3.343017800E-1,-1.218360290E-1,9.227581322E-2,3.029256463E-1,3.392974961E-1
3.368282900E-1,-1.058575287E-1,8.588441461E-2,3.093170524E-1,3.380221708E-1
3.393547480E-1,-9.627043456E-2,7.310161740E-2,3.157084286E-1,3.380586561E-1
3.418812070E-1,-7.922670245E-2,7.097115368E-2,3.231650591E-1,3.402196797E-1
3.444076650E-1,-6.644391268E-2,6.138405204E-2,3.274259865E-1,3.396918781E-1
3.469341230E-1,-5.579157919E-2,5.499265343E-2,3.338173926E-1,3.428861966E-1
3.494606340E-1,-4.194355011E-2,4.860125855E-2,3.380783200E-1,3.441195929E-1
3.519870920E-1,-3.661738336E-2,4.220985994E-2,3.444697261E-1,3.489726311E-1
3.545135500E-1,-2.916075476E-2,3.794892505E-2,3.476654291E-1,3.509440427E-1
3.571139670E-1,-2.596505545E-2,3.262276202E-2,3.540568352E-1,3.565033958E-1
3.596404250E-1,-2.063889056E-2,2.942706272E-2,3.625786901E-1,3.643559006E-1
3.621668840E-1,-1.744319126E-2,3.155753016E-2,3.679048419E-1,3.696675741E-1
3.646933420E-1,-1.318225823E-2,3.368799388E-2,3.700353205E-1,3.717993966E-1
3.672198530E-1,-1.464695437E-3,3.688369319E-2,3.689700961E-1,3.708119253E-1
3.697463110E-1,1.731003635E-3,4.114462435E-2,3.732310236E-1,3.754960365E-1
3.722727690E-1,8.122402243E-3,4.647079110E-2,3.721657991E-1,3.751438256E-1
3.747992280E-1,1.664426550E-2,5.392742157E-2,3.721657991E-1,3.764207492E-1
3.773256860E-1,2.410089783E-2,6.031882018E-2,3.732310236E-1,3.788411412E-1
3.798521960E-1,3.049229458E-2,6.777545065E-2,3.711005449E-1,3.784691615E-1
3.823786550E-1,3.581846133E-2,7.203638554E-2,3.689700961E-1,3.776388948E-1
3.849051130E-1,4.220985994E-2,8.375394344E-2,3.679048419E-1,3.796713948E-1
3.875221440E-1,4.966649041E-2,8.908011019E-2,3.668396175E-1,3.807536359E-1
3.900486030E-1,5.286218971E-2,9.973244369E-2,3.636439145E-1,3.807595934E-1
3.925750610E-1,5.499265343E-2,1.135804728E-1,3.647091687E-1,3.859242069E-1
