"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.231077210E-1,2.929390874E-3,-3.195699072E-3,1.331541280E-4,4.337228778E-3
2.256413670E-1,2.929390874E-3,0.000000000E0,-1.997311832E-3,3.545502143E-3
2.281750130E-1,1.864157850E-3,2.130466048E-3,1.331541280E-4,2.834025422E-3
2.307089190E-1,2.929390874E-3,-2.130466048E-3,1.198387123E-3,3.815278256E-3
2.332422520E-1,-2.663082560E-4,-2.130466048E-3,1.198387123E-3,2.458848788E-3
2.357782940E-1,2.929390874E-3,1.065233024E-3,2.263620263E-3,3.852275818E-3
2.383064190E-1,-1.331541222E-3,0.000000000E0,3.328853287E-3,3.585284679E-3
2.408392830E-1,-5.592473317E-3,-1.065233024E-3,1.331541280E-4,5.694577176E-3
2.433729290E-1,1.864157850E-3,-2.130466048E-3,2.263620263E-3,3.624630569E-3
2.459065750E-1,-1.331541222E-3,1.065233024E-3,4.394086078E-3,4.713355055E-3
2.484393880E-1,1.864157850E-3,4.260932095E-3,1.198387123E-3,4.802786536E-3
2.509760020E-1,1.864157850E-3,2.130466048E-3,1.331541280E-4,2.834025422E-3
2.535067310E-1,-3.462007269E-3,-1.065233024E-3,-9.320789250E-4,3.740185403E-3
2.560403250E-1,-2.663082560E-4,-2.130466048E-3,1.198387123E-3,2.458848788E-3
2.585739710E-1,2.929390874E-3,1.065233024E-3,-9.320789250E-4,3.253432558E-3
2.611086580E-1,-1.331541222E-3,0.000000000E0,1.198387123E-3,1.791405515E-3
2.636397000E-1,-1.331541222E-3,1.065233024E-3,1.331541280E-4,1.710395697E-3
2.661727210E-1,-2.663082560E-4,2.130466048E-3,-9.320789250E-4,2.340635980E-3
2.687072000E-1,5.059856921E-3,1.065233024E-3,-9.320789250E-4,5.254107401E-3
2.712405860E-1,1.864157850E-3,2.130466048E-3,2.263620263E-3,3.624630569E-3
2.737742310E-1,-2.663082560E-4,1.065233024E-3,2.263620263E-3,2.515873243E-3
2.763068880E-1,7.989247679E-4,-2.130466048E-3,-1.997311832E-3,3.027609770E-3
2.788410020E-1,2.929390874E-3,1.065233024E-3,1.331541280E-4,3.119901009E-3
2.813735540E-1,7.989247679E-4,2.130466048E-3,1.198387123E-3,2.571633345E-3
2.839087630E-1,7.989247679E-4,0.000000000E0,3.328853287E-3,3.423382098E-3
2.864415750E-1,-1.331541222E-3,0.000000000E0,3.328853287E-3,3.585284679E-3
2.889755330E-1,-1.331541222E-3,-3.195699072E-3,1.198387123E-3,3.663553777E-3
2.915097520E-1,7.989247679E-4,0.000000000E0,1.198387123E-3,1.440282084E-3
2.940404810E-1,-2.396774245E-3,2.130466048E-3,-9.320789250E-4,3.339488507E-3
2.965748560E-1,-3.462007269E-3,0.000000000E0,-1.997311832E-3,3.996842365E-3
2.991087110E-1,1.864157850E-3,3.195699072E-3,1.198387123E-3,3.888921282E-3
3.016424080E-1,2.929390874E-3,2.130466048E-3,2.263620263E-3,4.271322180E-3
3.041744400E-1,7.989247679E-4,-1.065233024E-3,-9.320789250E-4,1.625353285E-3
3.067082940E-1,-4.527240526E-3,0.000000000E0,2.263620263E-3,5.061608783E-3
3.092321480E-1,-2.663082560E-4,-1.065233024E-3,1.198387123E-3,1.625353247E-3
3.117753250E-1,1.864157850E-3,0.000000000E0,1.331541280E-4,1.868907304E-3
3.143079810E-1,-2.663082560E-4,1.065233024E-3,-1.997311832E-3,2.279231458E-3
3.168424080E-1,-2.396774245E-3,4.260932095E-3,2.263620263E-3,5.387396941E-3
3.193755330E-1,-1.331541222E-3,5.326164886E-3,1.198387123E-3,5.619356379E-3
3.219088670E-1,7.989247679E-4,3.195699072E-3,1.198387123E-3,3.505268183E-3
3.244412630E-1,7.989247679E-4,3.195699072E-3,-9.320789250E-4,3.423382021E-3
3.269753250E-1,1.864157850E-3,1.065233024E-3,-1.997311832E-3,2.932415462E-3
3.295081900E-1,-2.663082560E-4,1.065233024E-3,1.198387123E-3,1.625353247E-3
3.320453250E-1,-2.663082560E-4,1.065233024E-3,4.394086078E-3,4.529197936E-3
3.345770440E-1,2.929390874E-3,2.130466048E-3,3.328853287E-3,4.919500043E-3
3.371088670E-1,7.989247679E-4,-1.065233024E-3,1.331541280E-4,1.338182425E-3
3.396422520E-1,-1.331541222E-3,0.000000000E0,-1.997311832E-3,2.400470075E-3
3.421751170E-1,-2.396774245E-3,2.130466048E-3,-9.320789250E-4,3.339488507E-3
3.447095440E-1,-2.663082560E-4,-1.065233024E-3,1.331541280E-4,1.106061257E-3
3.472418360E-1,7.989247679E-4,1.065233024E-3,1.198387123E-3,1.791405559E-3
3.497755330E-1,-2.663082560E-4,2.130466048E-3,1.198387123E-3,2.458848788E-3
