,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,lin_acc_x,lin_acc_y,lin_acc_z,mag_x,mag_y,mag_z,labelOnTable,labelWalking,labelJumping,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
2022-06-08 13:23:43.745198848,-0.13133498197780555,-0.0578465909832915,9.703555133209962,-0.00015298661871355432,0.0005713817549890624,1.9174012017884236e-05,-0.006901943676452067,-0.003640477796314982,0.019415364231731968,6.357929090784154,-26.83315417703935,-213.66655173061807,1,0,0,0.9819537454381055,-0.01374053271350316,-0.0036877157737134018,-0.013492681486592079,0.001189214404686053,-0.00625890261564719,0.00018433604052918787
2022-06-08 13:23:43.845198848,-0.13049855504017674,-0.058401668446202155,9.704463544850913,0.00016431252561111142,0.0004309778285062637,0.00014730030476230727,-0.00270679444870204,-0.002547986881814818,0.01171060840591048,6.383054946460665,-26.77805871594731,-213.4080768928263,1,0,0,0.9811683654043641,-0.011674494824283121,-0.0039814674558769515,-0.01358960339475862,0.0008683572669991053,-0.006546707437043116,0.001450533760724456
2022-06-08 13:23:43.945198848,-0.12970722744504462,-0.05884079562987845,9.705654687892595,0.0003924353851982566,0.0003531972961964482,0.00019904831753612804,0.0004923554379806954,-0.0017292311714616647,0.0061690354781179105,6.440348100339354,-26.75008854785415,-213.20636624405356,1,0,0,0.9807284194893542,-0.009911811965369458,-0.00415080922919084,-0.01336840204831194,0.0009003653824540582,-0.0066110142213665415,0.00222544031772522
2022-06-08 13:23:44.045198848,-0.12899959616625944,-0.05904836260780682,9.707189848627706,0.0004884514891755569,0.0003654443944952519,0.00015265088362675534,0.0022124890749273475,-0.001292652514391495,0.0038265135518507506,6.546245928605027,-26.76073265323592,-213.09618732986658,1,0,0,0.9808113371105799,-0.008591357271608301,-0.004137321092989716,-0.012671237114232459,0.0014627200325103215,-0.006338797346028997,0.0022747114322466816
2022-06-08 13:23:44.145198848,-0.12840986212777084,-0.058968257647919416,9.708849404658448,0.0004739591272888283,0.000444323439193367,5.525273036499578e-05,0.0026652809607734533,-0.0011622714110461664,0.004176399906989313,6.6903470480112235,-26.79951890573605,-213.0791480281536,1,0,0,0.9813416576444842,-0.007662766435759403,-0.003977481111306138,-0.011596054779825601,0.002453593035781916,-0.0057894658673154215,0.0017298268706975838
2022-06-08 13:23:44.245198848,-0.12797191211792677,-0.05868926841303869,9.710286857849944,0.0004132745534793534,0.0005310983465404267,-1.2345370838912471e-05,0.0025103508156829827,-0.001205439523888273,0.005679623847931981,6.834074236640281,-26.840294395503417,-213.12757019688235,1,0,0,0.9820290494567886,-0.007018532174854024,-0.003778584106616781,-0.010481809908021278,0.0035090083205982017,-0.005179207857348676,0.0009945661875189159
2022-06-08 13:23:44.345198848,-0.127699304807804,-0.058451462899541125,9.711284789281354,0.0003685431388578751,0.0005673820404474196,4.986868638344015e-06,0.002399014374289915,-0.001366711836454971,0.006797350495741376,6.925608163181185,-26.855784218341157,-213.20000667271577,1,0,0,0.9825154052609876,-0.0066395936824115796,-0.003654946228457412,-0.009754652002199674,0.004164335807390189,-0.004779461130884136,0.0005068022239018005
2022-06-08 13:23:44.445198848,-0.12754714284620286,-0.05851325299147658,9.711923677170097,0.0003625757781717292,0.0005288513741354147,9.652091206316733e-05,0.002632625502180502,-0.0016710457626038166,0.00683739873223356,6.928362139953108,-26.831559672190732,-213.26007603775503,1,0,0,0.9825591686680342,-0.006603895813457866,-0.0036613578967368103,-0.00968875514792969,0.004104851696319859,-0.004768615773107984,0.0004978413707187913
2022-06-08 13:23:44.545198848,-0.1274023826480374,-0.05895595264303506,9.71253005834054,0.0003732997253045149,0.0004366876275161425,0.0001939358207850733,0.0031196736811976923,-0.0021059858133533637,0.006107135514639723,6.84772688510596,-26.772057939731027,-213.29033276503284,1,0,0,0.9821612550104701,-0.006944073190095238,-0.0037637810532368723,-0.010217540066739472,0.003373888934596475,-0.0051166404112356,0.0008883733994252893
2022-06-08 13:23:44.645198848,-0.12714523929087873,-0.05959584655147362,9.713423168168806,0.0003608501052046785,0.00034076279265930667,0.0002221781740381169,0.0035728405671150254,-0.002529916204642753,0.0053871886983007005,6.736411876771095,-26.697011118732437,-213.29611356598437,1,0,0,0.9815636604270361,-0.007493415952785727,-0.0038657435287624813,-0.010935174368127562,0.002399595745410106,-0.00558037690754478,0.0013729917594398483
2022-06-08 13:23:44.745198848,-0.12675821421296293,-0.060111507898595075,9.714625441918034,0.0003056289565069814,0.00028624327380712166,0.00015602719331697686,0.0037465066070545877,-0.0027366762238360625,0.005188873967133529,6.669798783748399,-26.63201660498098,-213.29826063838914,1,0,0,0.9811185944776208,-0.007883900393709745,-0.003874093148096792,-0.01131974492936147,0.0017939253052276973,-0.005828774581828497,0.0016291669353553362
2022-06-08 13:23:44.845198848,-0.12638716417984452,-0.060310879782753526,9.715743739445026,0.0002287267592917182,0.0002853903548601254,4.106616878366466e-05,0.003559468118458634,-0.0026451021901287624,0.005338166831208677,6.703432655231642,-26.598538712402725,-213.31755950487874,1,0,0,0.9810965564749894,-0.007732696110380869,-0.003761587467088656,-0.011051395483649959,0.00202188076757147,-0.00563320537600296,0.001514914023120189
2022-06-08 13:23:44.945198848,-0.12626656066172554,-0.060320289463879885,9.716134026196455,0.0001794302072843123,0.00031267613166809864,-3.6760942071356445e-05,0.0030879660908310494,-0.002433896281587087,0.005136294377076806,6.839361868301826,-26.60664136317402,-213.3578669829706,1,0,0,0.9815360544135887,-0.0068891800809271955,-0.003584736108491124,-0.010213804002472265,0.0031345153235467042,-0.0050071136313139045,0.0011360736477309362
2022-06-08 13:23:45.045198848,-0.12653107249376017,-0.060516571800410465,9.715285218799606,0.00019859511805195643,0.0003260430461392023,-1.1808057931386304e-05,0.0025030666361962,-0.002460747031858106,0.003927272735596539,7.024035381552512,-26.651338698513918,-213.3978638595679,1,0,0,0.9822166581058223,-0.005556666454306018,-0.0034446116133607443,-0.009235114561492272,0.0047311224657509005,-0.004203435119992924,0.0007544531913859925
2022-06-08 13:23:45.145198848,-0.12706132356363156,-0.061226157781551056,9.713202807203173,0.00028450840761774185,0.0002997136516452281,0.00011343224447497807,0.002006731772171286,-0.0029863713396047257,0.0016461825706626223,7.179755833823617,-26.713046984821407,-213.39958871090755,1,0,0,0.9827728923422093,-0.00419589585573776,-0.003417069836752412,-0.008604988363643887,0.006177435028274426,-0.003566666025712928,0.0006097387777206191
2022-06-08 13:23:45.245198848,-0.12752315354567859,-0.06241395586484153,9.710539773270483,0.0003868747960221805,0.0002457581518077749,0.00026729068972562367,0.0017614312368508592,-0.003908987197013093,-0.0010307711705762985,7.249384259109801,-26.7633775871928,-213.3330612266202,1,0,0,0.982892566544394,-0.003276195669126,-0.0035000809376386863,-0.008562878831995052,0.0069498743762140425,-0.0033304664932719344,0.0007746205519210334
