,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,lin_acc_x,lin_acc_y,lin_acc_z,mag_x,mag_y,mag_z,labelOnTable,labelWalking,labelJumping
2022-06-08 13:23:43.745198848,-0.13132857697850003,-0.0578464876645,9.70355377185,-0.0001521761255535714,0.0005706605485357142,1.902200260714291e-05,-0.0068936475681428576,-0.0036413666920214294,0.019417422157999995,6.358333587444445,-26.83333481777778,-213.6666717888889,1,0,0
2022-06-08 13:23:43.845198848,-0.12908204414820515,-0.05709029371179488,9.705135223051283,3.414211249487185e-05,0.00016388199764102562,-7.852679356410249e-05,0.0021820351485549996,0.00011678841025000043,0.007849025725400001,6.795000267000001,-26.760000991000005,-213.21750796999996,1,0,0
2022-06-08 13:23:43.945198848,-0.129653599303,-0.05814559003425,9.7088181733,0.0008255556066300001,0.0003994623840249999,0.00061250897545,0.00018753974123157912,-0.001224989365736842,0.007769484268736842,6.442500257400001,-26.74500122,-213.36750948,1,0,0
2022-06-08 13:23:44.045198848,-0.12981062764025642,-0.05886957304871793,9.704705825128205,0.00030727878077179484,0.00030045034010256407,0.0001126688684615385,0.000949153304055,-0.0011321099474999998,0.0034533500672500007,6.5175003051000004,-26.797501182,-212.91001132000002,1,0,0
2022-06-08 13:23:44.145198848,-0.12709627075725,-0.057427743345275006,9.7034940958,0.00010652330390499998,0.0008255555877749998,-0.00045272403812499985,0.0028118364508600015,-0.0005425840610999999,0.0008237838749499992,6.630000257499999,-26.820001028,-213.20250703000002,1,0,0
2022-06-08 13:23:44.245198848,-0.1295728794202564,-0.06408469866256411,9.714583861435898,0.0006077291193076923,0.0003550776746410256,0.0004404328698461539,0.0005608819418499997,-0.006198925711699999,0.010579347609995002,6.4200002669,-26.707501029000003,-213.18750765,1,0,0
2022-06-08 13:23:44.345198848,-0.12750005907974998,-0.05718846102242501,9.7187407016,0.000692401466955,0.00026630825595,-1.8299999981086917e-11,0.0032230545042999993,-0.00013386203257894743,0.012448411239105261,7.1850002763,-26.902501105000006,-213.27001039,1,0,0
2022-06-08 13:23:44.445198848,-0.12921242300102562,-0.05874686337197435,9.704460339641024,0.00019802412056410258,0.000792096351153846,-0.00010584047574358967,0.0015862241395,-0.001326284372,-0.0011774063110900005,7.215000247799999,-26.955001067,-213.06001132,1,0,0
2022-06-08 13:23:44.545198848,-0.12498011736850001,-0.05228317458880001,9.708040451975,-2.663080078749995e-05,0.0005326165061,0.000266308239075,0.0056404359640500005,0.0041883535682500014,0.00195841789296,6.802500295499999,-26.805001067,-213.25500797,1,0,0
2022-06-08 13:23:44.645198848,-0.12498663727589743,-0.06359386363128205,9.717222066974358,0.0008262384485717949,8.194100779487182e-05,0.0001946098732564103,0.005707076190550001,-0.006239928118245,0.00848579406855,6.5775003432000005,-26.542501258000005,-213.43500828,1,0,0
2022-06-08 13:23:44.745198848,-0.12616905196525002,-0.060897336167225,9.720901727649998,0.00010652333296500001,0.0004527240352,0.00023967743315000001,0.0035603226805263153,-0.004432864683015789,0.013031005858363157,6.6000003337,-26.482501221,-213.21750949000003,1,0,0
2022-06-08 13:23:44.845198848,-0.13527884199743592,-0.06402334422871796,9.71255913748718,0.0004711607843641026,0.00038239133589743594,8.535521689743599e-05,-0.005507881194199999,-0.00561893843085,0.0015896797187150001,6.6975003241,-26.790001104999998,-213.51750949,1,0,0
2022-06-08 13:23:44.945198848,-0.12167503199400001,-0.05718846130275,9.71007428165,-0.00021304658301499999,0.00010652330235000001,-5.3261654974999974e-05,0.00834372341665,0.0008253203697800003,-0.0007145881651999999,6.892500305,-26.775001336000003,-213.12001345,1,0,0
2022-06-08 13:23:45.045198848,-0.12436542354435898,-0.058317382845128204,9.719369496897436,0.0005257881235205127,0.0002458230055384616,-0.00016046781030769222,0.004814127087916499,-0.0010275268920250003,0.008099126816350001,7.1400002954,-26.505001260000007,-213.53250887999997,1,0,0
2022-06-08 13:23:45.145198848,-0.12521940059175002,-0.06131608067100001,9.714082288724999,7.98924971525e-05,0.0004793548549,7.989246940000002e-05,0.003777299272394738,-0.001927035615763158,0.0020138088033631574,7.155000305099999,-26.677501297000003,-213.41251071000002,1,0,0
2022-06-08 13:23:45.245198848,-0.13019409468897433,-0.06316438257666666,9.711753869589744,0.0005257881145666667,0.0004097050031794873,0.00041311919805128207,-0.0014477312559849995,-0.005582532472849999,3.581047122000148e-05,7.1775003431,-26.700001336000003,-213.05250857000001,1,0,0
2022-06-08 13:23:45.345198848,-0.128404844731,-0.06586244311275,9.703613614975001,0.0002396774390750001,1.0842021724855045e-20,0.0003195698932250001,0.0010383561253499997,-0.006868515536614999,-0.007942342758430001,7.230000257399999,-26.760001374,-213.48751069999997,1,0,0
