,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,lin_acc_x,lin_acc_y,lin_acc_z,mag_x,mag_y,mag_z,labelOnTable,labelWalking,labelJumping
2022-06-08 13:23:43.745198848,-0.13132857697850006,-0.0578464876645,9.70355377185,-0.0001521761255535714,0.0005706605485357142,1.902200260714291e-05,-0.0068936475681428576,-0.003641366692021429,0.019417422157999995,6.358333587444445,-26.833334817777782,-213.6666717888889,1,0,0
2022-06-08 13:23:43.845198848,-0.12908204414820515,-0.05709029371179487,9.705135223051283,3.414211249487185e-05,0.00016388199764102562,-7.852679356410249e-05,0.002182035148555,0.00011678841025000044,0.007849025725400001,6.795000267000001,-26.760000991000005,-213.21750797,1,0,0
2022-06-08 13:23:43.945198848,-0.129653599303,-0.05814559003425,9.708818173300001,0.0008255556066300001,0.00039946238402499985,0.0006125089754500001,0.00018753974123157912,-0.001224989365736842,0.007769484268736842,6.442500257400002,-26.74500122,-213.36750948,1,0,0
2022-06-08 13:23:44.045198848,-0.12981062764025642,-0.05886957304871793,9.704705825128203,0.00030727878077179484,0.00030045034010256407,0.0001126688684615385,0.0009491533040549999,-0.0011321099474999998,0.003453350067250001,6.5175003051,-26.797501181999998,-212.91001132,1,0,0
2022-06-08 13:23:44.145198848,-0.12709627075725,-0.05742774334527501,9.7034940958,0.00010652330390499997,0.0008255555877749997,-0.0004527240381249999,0.002811836450860001,-0.0005425840610999999,0.0008237838749499992,6.630000257499999,-26.820001028000004,-213.20250703,1,0,0
2022-06-08 13:23:44.245198848,-0.1295728794202564,-0.06408469866256411,9.714583861435898,0.0006077291193076923,0.00035507767464102564,0.0004404328698461539,0.0005608819418499997,-0.006198925711699999,0.010579347609995002,6.420000266900001,-26.707501029000007,-213.18750765,1,0,0
2022-06-08 13:23:44.345198848,-0.12750005907974998,-0.05718846102242501,9.7187407016,0.0006924014669550001,0.00026630825595,-1.8299999981086923e-11,0.0032230545042999997,-0.00013386203257894743,0.01244841123910526,7.1850002763,-26.90250110500001,-213.27001039,1,0,0
2022-06-08 13:23:44.445198848,-0.12921242300102562,-0.05874686337197435,9.704460339641024,0.00019802412056410255,0.000792096351153846,-0.00010584047574358968,0.0015862241394999999,-0.0013262843719999999,-0.0011774063110900005,7.215000247799998,-26.955001066999998,-213.06001132,1,0,0
2022-06-08 13:23:44.545198848,-0.1249801173685,-0.05228317458880001,9.708040451975,-2.663080078749995e-05,0.0005326165061000001,0.00026630823907499996,0.0056404359640500005,0.0041883535682500014,0.00195841789296,6.8025002955,-26.805001067,-213.25500797,1,0,0
2022-06-08 13:23:44.645198848,-0.12498663727589746,-0.06359386363128205,9.717222066974358,0.0008262384485717949,8.194100779487181e-05,0.0001946098732564103,0.00570707619055,-0.006239928118245,0.00848579406855,6.5775003432000005,-26.542501258,-213.43500828,1,0,0
